week_end,crude_stocks_incl_spr_mbbl,commercial_crude_mbbl,spr_crude_mbbl,refinery_crude_inputs_mbd,days_supply_incl_spr,commercial_days_supply,spr_days_equivalent,days_supply_incl_spr_percentile
1982-08-20,609219,338764,270455,11722,51.97,28.9,23.07,6.5
1982-08-27,608741,336138,272603,11918,51.08,28.2,22.87,5.54
1982-09-24,612419,335586,276833,12375,49.49,27.12,22.37,3.71
1982-10-01,612419,334786,277633,12303,49.78,27.21,22.57,3.93
1982-10-08,613985,335260,278725,12062,50.9,27.79,23.11,5.15
1982-10-15,607781,326979,280802,12129,50.11,26.96,23.15,4.45
1982-10-22,617763,334370,283393,11611,53.2,28.8,24.41,8.51
1982-10-29,617335,333067,284268,11765,52.47,28.31,24.16,7.11
1982-11-05,615963,331057,284906,11751,52.42,28.17,24.25,6.94
1982-11-12,609646,323448,286198,11777,51.77,27.46,24.3,6.28
1982-11-19,617599,331264,286335,11978,51.56,27.66,23.91,5.98
1982-11-26,613795,325639,288156,11358,54.04,28.67,25.37,10.65
1982-12-03,622410,332447,289963,12192,51.05,27.27,23.78,5.45
1982-12-10,629452,337943,291509,11536,54.56,29.29,25.27,11.91
1982-12-17,630630,338912,291718,11462,55.02,29.57,25.45,12.78
1982-12-24,627549,335061,292488,11236,55.85,29.82,26.03,15.05
1982-12-31,623364,330150,293214,12762,48.85,25.87,22.98,2.71
1983-01-07,621519,326701,294818,11735,52.96,27.84,25.12,8.03
1983-01-14,634468,339028,295440,11481,55.26,29.53,25.73,13.39
1983-01-21,630862,334178,296684,11163,56.51,29.94,26.58,16.45
1983-01-28,637996,339617,298379,11095,57.5,30.61,26.89,20.2
1983-02-04,633444,332527,300917,10825,58.52,30.72,27.8,22.82
1983-02-11,640679,338719,301960,10907,58.74,31.06,27.68,23.87
1983-02-18,645786,342040,303746,10903,59.23,31.37,27.86,25.26
1983-02-25,654800,349452,305348,10899,60.08,32.06,28.02,28.01
1983-03-04,646180,339216,306964,10714,60.31,31.66,28.65,29.14
1983-03-11,650270,341753,308517,10780,60.32,31.7,28.62,29.19
1983-03-18,645657,335901,309756,10923,59.11,30.75,28.36,24.78
1983-03-25,647475,337155,310320,11245,57.58,29.98,27.6,20.59
1983-04-01,643056,331215,311841,10927,58.85,30.31,28.54,24.08
1983-04-08,648846,335263,313583,11411,56.86,29.38,27.48,17.89
1983-04-15,655356,340539,314817,11384,57.57,29.91,27.65,20.51
1983-04-29,660163,342707,317456,11820,55.85,28.99,26.86,15.01
1983-05-13,663452,342703,320749,11636,57.02,29.45,27.57,18.63
1983-05-20,669661,345545,324116,11761,56.94,29.38,27.56,18.24
1983-06-03,661439,334607,326832,12312,53.72,27.18,26.55,9.82
1983-06-10,660809,333407,327402,12081,54.7,27.6,27.1,12.22
1983-06-17,660684,332713,327971,12366,53.43,26.91,26.52,8.9
1983-06-24,661690,331611,330079,12426,53.25,26.69,26.56,8.55
1983-07-01,665523,333387,332136,12340,53.93,27.02,26.92,10.34
1983-07-08,661437,326776,334661,12382,53.42,26.39,27.03,8.86
1983-07-15,660062,324265,335797,12495,52.83,25.95,26.87,7.59
1983-07-22,661544,323643,337901,12647,52.31,25.59,26.72,6.81
1983-07-29,666229,326267,339962,12672,52.57,25.75,26.83,7.24
1983-08-05,664421,322642,341779,12394,53.61,26.03,27.58,9.42
1983-08-12,658793,314861,343932,12316,53.49,25.57,27.93,9.08
1983-08-19,666568,320879,345689,12609,52.86,25.45,27.42,7.77
1983-08-26,674046,325015,349031,11835,56.95,27.46,29.49,18.32
1983-09-02,680678,328895,351783,12317,55.26,26.7,28.56,13.44
1983-09-09,679709,326370,353339,12898,52.7,25.3,27.39,7.42
1983-09-16,683787,328092,355695,12941,52.84,25.35,27.49,7.64
1983-09-23,686492,328203,358289,12447,55.15,26.37,28.79,13.13
1983-09-30,689484,329028,360456,12321,55.96,26.7,29.26,15.14
1983-10-07,692999,331723,361276,12099,57.28,27.42,29.86,19.55
